libtss2-sys1t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-cmd0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-device0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-libtpms0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-mssim0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-spi-helper0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tcti-swtpm0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-tctildr0t64:amd64	4.0.1-7.1ubuntu5.1
libtumbler-1-0t64:amd64	4.18.1-1.1build4
libtwolame0:amd64	0.4.0-2build3
libu2f-udev	1.1.10-3build3
libubsan1:amd64	14.2.0-4ubuntu2~24.04.1
libuchardet0:amd64	0.0.8-1build1
libudev-dev:amd64	255.4-1ubuntu8.16
libudev1:amd64	255.4-1ubuntu8.16
libudfread0:amd64	1.1.2-1build1
libudisks2-0:amd64	2.10.1-6ubuntu1.3
libunibreak5:amd64	5.1-2build1
libunistring5:amd64	1.1-2build1.1
libunity-gtk2-parser0:amd64	0.0.0+18.04.20171202-0ubuntu7
libunity-gtk3-parser0:amd64	0.0.0+18.04.20171202-0ubuntu7
libunity-protocol-private0:amd64	7.1.4+19.04.20190319-6build4
libunity-scopes-json-def-desktop	7.1.4+19.04.20190319-6build4
libunity-settings-daemon1:amd64	15.04.1+21.10.20220802-0ubuntu5
libunity9:amd64	7.1.4+19.04.20190319-6build4
libuno-cppu3t64	4:24.2.7-0ubuntu0.24.04.5
libuno-cppuhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.5
libuno-purpenvhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.5
libuno-sal3t64	4:24.2.7-0ubuntu0.24.04.5
libuno-salhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.5
libunwind8:amd64	1.6.2-3build1.1
libupnp17t64:amd64	1:1.14.18-1.1ubuntu2
libupower-glib3:amd64	1.90.3-1
libupsclient6t64:amd64	2.8.1-3.1ubuntu2
liburi-perl	5.27-1
libusb-1.0-0:amd64	2:1.0.27-1
libusbmuxd6:amd64	2.0.2-4build3
libutempter0:amd64	1.2.1-3build1
libuuid1:amd64	2.39.3-9ubuntu6.5
libuv1-dev:amd64	1.48.0-1.1build1
libuv1t64:amd64	1.48.0-1.1build1
libv4l-0t64:amd64	1.26.1-4build3
libv4lconvert0t64:amd64	1.26.1-4build3
libva-drm2:amd64	2.20.0-2ubuntu0.2
libva-wayland2:amd64	2.20.0-2ubuntu0.2
libva-x11-2:amd64	2.20.0-2ubuntu0.2
libva2:amd64	2.20.0-2ubuntu0.2
libvdpau1:amd64	1.5-2build1
libvidstab1.1:amd64	1.1.0-2build1
libvisual-0.4-0:amd64	0.4.2-2build1
libvlc-bin:amd64	3.0.20-3build6
libvlc5:amd64	3.0.20-3build6
libvlccore9:amd64	3.0.20-3build6
libvncclient1:amd64	0.9.14+dfsg-1ubuntu0.2
libvncserver1:amd64	0.9.14+dfsg-1ubuntu0.2
libvoikko1:amd64	4.3.2-1build1
libvolume-key1:amd64	0.3.12-7build2
libvorbis0a:amd64	1.3.7-1build3
libvorbisenc2:amd64	1.3.7-1build3
libvorbisfile3:amd64	1.3.7-1build3
libvpl2	2023.3.0-1build1
libvpx9:amd64	1.14.0-1ubuntu2.3
libvte-2.91-0:amd64	0.76.0-1ubuntu0.1
libvte-2.91-common	0.76.0-1ubuntu0.1
libvulkan1:amd64	1.3.275.0-1build1
libwacom-common	2.10.0-2
libwacom9:amd64	2.10.0-2
libwavpack1:amd64	5.6.0-1build1
libwayland-client0:amd64	1.22.0-2.1build1
libwayland-cursor0:amd64	1.22.0-2.1build1
libwayland-egl1:amd64	1.22.0-2.1build1
libwayland-server0:amd64	1.22.0-2.1build1
libwbclient0:amd64	2:4.19.5+dfsg-4ubuntu9.6
libweather-ion7	4:5.27.11-0ubuntu4.1
libwebkit2gtk-4.1-0:amd64	2.52.3-0ubuntu0.24.04.1
libwebkitgtk-6.0-4:amd64	2.52.3-0ubuntu0.24.04.1
libwebp7:amd64	1.3.2-0.4build3
libwebpdemux2:amd64	1.3.2-0.4build3
libwebpmux3:amd64	1.3.2-0.4build3
libwebrtc-audio-processing1:amd64	0.3.1-0ubuntu6
libwhoopsie-preferences0	23build3
libwhoopsie0:amd64	0.2.77ubuntu0.1
libwinpr3-3:amd64	3.5.1+dfsg1-0ubuntu1.6
libwireplumber-0.4-0:amd64	0.4.17-1ubuntu4.1
libwmf-0.2-7:amd64	0.2.13-1.1build3
libwmf-0.2-7-gtk:amd64	0.2.13-1.1build3
libwmf0.2-7-gtk:amd64	0.2.13-1.1build3
libwmflite-0.2-7:amd64	0.2.13-1.1build3
libwnck-3-0:amd64	43.0-3build4
libwnck-3-common	43.0-3build4
libwoff1:amd64	1.0.2-2build1
libwrap0:amd64	7.6.q-33
libwrap0-dev:amd64	7.6.q-33
libwww-perl	6.76-1ubuntu0.1
libwww-robotrules-perl	6.02-1
libx11-6:amd64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-protocol-perl	0.56-9
libx11-xcb1:amd64	2:1.8.7-1build1
libx264-164:amd64	2:0.164.3108+git31e19f9-1
libx265-199:amd64	3.5-2build1
libxapian30:amd64	1.4.22-1build1
libxatracker2:amd64	25.1.7-1ubuntu2~24.04.2
libxau6:amd64	1:1.0.9-1build6
libxaw7:amd64	2:1.0.14-1build2
libxcb-composite0:amd64	1.15-1ubuntu2
libxcb-cursor0:amd64	0.1.4-1build1
libxcb-damage0:amd64	1.15-1ubuntu2
libxcb-dpms0:amd64	1.15-1ubuntu2
libxcb-dri2-0:amd64	1.15-1ubuntu2
libxcb-dri3-0:amd64	1.15-1ubuntu2
libxcb-glx0:amd64	1.15-1ubuntu2
libxcb-icccm4:amd64	0.4.1-1.1build3
libxcb-image0:amd64	0.4.0-2build1
libxcb-keysyms1:amd64	0.4.0-1build4
libxcb-present0:amd64	1.15-1ubuntu2
libxcb-randr0:amd64	1.15-1ubuntu2
libxcb-record0:amd64	1.15-1ubuntu2
libxcb-render-util0:amd64	0.3.9-1build4
libxcb-render0:amd64	1.15-1ubuntu2
libxcb-res0:amd64	1.15-1ubuntu2
libxcb-shape0:amd64	1.15-1ubuntu2
libxcb-shm0:amd64	1.15-1ubuntu2
libxcb-sync1:amd64	1.15-1ubuntu2
libxcb-util1:amd64	0.4.0-1build3
libxcb-xfixes0:amd64	1.15-1ubuntu2
libxcb-xinerama0:amd64	1.15-1ubuntu2
libxcb-xinput0:amd64	1.15-1ubuntu2
libxcb-xkb1:amd64	1.15-1ubuntu2
libxcb-xv0:amd64	1.15-1ubuntu2
libxcb1:amd64	1.15-1ubuntu2
libxcomposite1:amd64	1:0.4.5-1build3
libxcursor1:amd64	1:1.2.1-1build1
libxcvt0:amd64	0.1.2-1build1
libxdamage1:amd64	1:1.1.6-1build1
libxdgutilsbasedir1.0.1:amd64	1.0.1-3.1build1
libxdgutilsdesktopentry1.0.1:amd64	1.0.1-3.1build1
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libxext6:amd64	2:1.3.4-1build2
libxfce4panel-2.0-4	4.18.4-1build2
libxfce4ui-2-0:amd64	4.18.4-1build4
libxfce4ui-common	4.18.4-1build4
libxfce4ui-utils	4.18.4-1build4
libxfce4util-bin	4.18.1-2build3
libxfce4util-common	4.18.1-2build3
libxfce4util7:amd64	4.18.1-2build3
libxfconf-0-3:amd64	4.18.1-1build3
libxfixes3:amd64	1:6.0.0-2build1
libxfont2:amd64	1:2.0.6-1build1
libxft2:amd64	2.3.6-1build1
libxi6:amd64	2:1.8.1-1build1
libxinerama1:amd64	2:1.1.4-3build1
libxkbcommon-x11-0:amd64	1.6.0-1build1
libxkbcommon0:amd64	1.6.0-1build1
libxkbfile1:amd64	1:1.1.0-1build4
libxkbregistry0:amd64	1.6.0-1build1
libxklavier16:amd64	5.4-5build2
libxml-parser-perl	2.47-1ubuntu0.24.04.1
libxml-twig-perl	1:3.52-2
libxml-xpathengine-perl	0.14-2
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxml2-utils	2.9.14+dfsg-1.3ubuntu3.8
libxmlb2:amd64	0.3.18-1
libxmlsec1t64:amd64	1.2.39-5build2
libxmlsec1t64-nss:amd64	1.2.39-5build2
libxmlsec1t64-openssl:amd64	1.2.39-5build2
libxmu6:amd64	2:1.1.3-3build2
libxmuu1:amd64	2:1.1.3-3build2
libxnvctrl0:amd64	510.47.03-0ubuntu4
libxpm4:amd64	1:3.5.17-1build2
libxpresent1:amd64	1.0.0-2build2
libxrandr2:amd64	2:1.5.2-2build1
libxrender1:amd64	1:0.9.10-1.1build1
libxres1:amd64	2:1.2.1-1build1
libxshmfence1:amd64	1.3-1build5
libxslt1.1:amd64	1.1.39-0exp1ubuntu0.24.04.3
libxss1:amd64	1:1.2.3-1build3
libxt6t64:amd64	1:1.2.1-1.2build1
libxtables12:amd64	1.8.10-3ubuntu2
libxtst6:amd64	2:1.2.3-1.1build1
libxv1:amd64	2:1.0.11-1.1build1
libxvidcore4:amd64	2:1.3.7-1build1
libxvmc1:amd64	2:1.0.12-2build3
libxxf86dga1:amd64	2:1.1.5-1build1
libxxf86vm1:amd64	1:1.1.4-1build4
libxxhash0:amd64	0.8.2-2build1
libyajl2:amd64	2.1.0-5build1
libyaml-0-2:amd64	0.2.5-1build1
libyelp0:amd64	42.2-1ubuntu0.24.04.1
libyuv0:amd64	0.0~git202401110.af6ac82-1
libzimg2:amd64	3.0.5+ds1-1build1
libzip4t64:amd64	1.7.3-1.1ubuntu2
libzix-0-0:amd64	0.4.2-2build1
libzmq5:amd64	4.3.5-1build2
libzstd1:amd64	1.5.5+dfsg2-2build1.1
libzvbi-common	0.2.42-2
libzvbi0t64:amd64	0.2.42-2
libzxing3:amd64	2.2.1-3
light-locker	1.8.0-3ubuntu3
light-locker-settings	1.5.0-0ubuntu4
lightdm	1.30.0-0ubuntu14
linux-base	4.5ubuntu9+24.04.2
linux-firmware	20240318.git3b128b60-0ubuntu2.26
linux-generic-hwe-24.04	6.17.0-35.35~24.04.1
linux-headers-6.17.0-23-generic	6.17.0-23.23~24.04.1
linux-headers-6.17.0-35-generic	6.17.0-35.35~24.04.1
linux-headers-generic-hwe-24.04	6.17.0-35.35~24.04.1
linux-hwe-6.17-headers-6.17.0-19	6.17.0-19.19~24.04.2
linux-hwe-6.17-headers-6.17.0-20	6.17.0-20.20~24.04.1
linux-hwe-6.17-headers-6.17.0-23	6.17.0-23.23~24.04.1
linux-hwe-6.17-headers-6.17.0-35	6.17.0-35.35~24.04.1
linux-hwe-6.17-tools-6.17.0-19	6.17.0-19.19~24.04.2
linux-hwe-6.17-tools-6.17.0-23	6.17.0-23.23~24.04.1
linux-hwe-6.17-tools-6.17.0-35	6.17.0-35.35~24.04.1
linux-image-6.17.0-14-generic	6.17.0-14.14~24.04.1
linux-image-6.17.0-19-generic	6.17.0-19.19~24.04.2
linux-image-6.17.0-20-generic	6.17.0-20.20~24.04.1
linux-image-6.17.0-23-generic	6.17.0-23.23~24.04.1
linux-image-6.17.0-35-generic	6.17.0-35.35~24.04.1
linux-image-6.8.0-36-generic	6.8.0-36.36
linux-image-6.8.0-38-generic	6.8.0-38.38
linux-image-6.8.0-39-generic	6.8.0-39.39
linux-image-6.8.0-40-generic	6.8.0-40.40
linux-image-6.8.0-41-generic	6.8.0-41.41
linux-image-6.8.0-44-generic	6.8.0-44.44
linux-image-6.8.0-45-generic	6.8.0-45.45
linux-image-6.8.0-47-generic	6.8.0-47.47
linux-image-6.8.0-48-generic	6.8.0-48.48
linux-image-generic-hwe-24.04	6.17.0-35.35~24.04.1
linux-libc-dev:amd64	6.8.0-134.134
linux-modules-6.17.0-14-generic	6.17.0-14.14~24.04.1
linux-modules-6.17.0-19-generic	6.17.0-19.19~24.04.2
linux-modules-6.17.0-20-generic	6.17.0-20.20~24.04.1
linux-modules-6.17.0-23-generic	6.17.0-23.23~24.04.1
linux-modules-6.17.0-35-generic	6.17.0-35.35~24.04.1
linux-modules-6.8.0-36-generic	6.8.0-36.36
linux-modules-6.8.0-38-generic	6.8.0-38.38
linux-modules-6.8.0-39-generic	6.8.0-39.39
linux-modules-6.8.0-40-generic	6.8.0-40.40
linux-modules-6.8.0-41-generic	6.8.0-41.41
linux-modules-6.8.0-44-generic	6.8.0-44.44
linux-modules-6.8.0-45-generic	6.8.0-45.45
linux-modules-6.8.0-47-generic	6.8.0-47.47
linux-modules-6.8.0-48-generic	6.8.0-48.48
linux-modules-extra-6.17.0-14-generic	6.17.0-14.14~24.04.1
linux-modules-extra-6.17.0-19-generic	6.17.0-19.19~24.04.2
linux-modules-extra-6.17.0-20-generic	6.17.0-20.20~24.04.1
linux-modules-extra-6.17.0-23-generic	6.17.0-23.23~24.04.1
linux-modules-extra-6.17.0-35-generic	6.17.0-35.35~24.04.1
linux-modules-extra-6.8.0-36-generic	6.8.0-36.36
linux-modules-extra-6.8.0-38-generic	6.8.0-38.38
linux-modules-extra-6.8.0-39-generic	6.8.0-39.39
linux-modules-extra-6.8.0-40-generic	6.8.0-40.40
linux-modules-extra-6.8.0-41-generic	6.8.0-41.41
linux-modules-extra-6.8.0-44-generic	6.8.0-44.44
linux-modules-extra-6.8.0-45-generic	6.8.0-45.45
linux-modules-extra-6.8.0-47-generic	6.8.0-47.47
linux-modules-extra-6.8.0-48-generic	6.8.0-48.48
linux-sound-base	1.0.25+dfsg-0ubuntu7
linux-tools-6.17.0-23-generic	6.17.0-23.23~24.04.1
linux-tools-6.17.0-35-generic	6.17.0-35.35~24.04.1
linux-tools-common	6.8.0-134.134
lm-sensors	1:3.6.0-9build1
locales	2.39-0ubuntu8.7
login	1:4.13+dfsg1-4ubuntu3.2
logrotate	3.21.0-2build1
logsave	1.47.0-2.4~exp1ubuntu4.1
lsb-release	12.0-2
lshw	02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
lsof	4.95.0-1build3
lto-disabled-list	47
lvm2	2.03.16-3ubuntu3.2
m17n-db	1.8.5-1
make	4.3-4.1build2
man-db	2.12.0-4build2
manpages	6.7-2
manpages-dev	6.7-2
mawk	1.3.4.20240123-1build1
media-player-info	24-3
media-types	10.1.0
memtest86+	7.00-1build1
mesa-libgallium:amd64	25.2.8-0ubuntu0.24.04.2
mesa-utils	9.0.0-2
mesa-utils-bin:amd64	9.0.0-2
mesa-va-drivers:amd64	25.2.8-0ubuntu0.24.04.2
mesa-vdpau-drivers:amd64	25.2.8-0ubuntu0.24.04.2
mesa-vulkan-drivers:amd64	25.2.8-0ubuntu0.24.04.2
milou	4:5.27.11-0ubuntu2
mobile-broadband-provider-info	20230416-1
modemmanager	1.23.4-0ubuntu2
mount	2.39.3-9ubuntu6.5
mousepad	0.6.1-1build2
mousetweaks	3.32.0-4build2
mscompress	0.4-10build1
msmtp	1.8.24-1build2
msmtp-mta	1.8.24-1build2
mtr-tiny	0.95-1.1ubuntu0.1
mutter-common	46.2-1ubuntu0.24.04.14
mutter-common-bin	46.2-1ubuntu0.24.04.14
mysql-common	5.8+1.1.0build1
mythes-en-au	2.1-6
mythes-en-us	1:24.2.1-1
nano	7.2-2ubuntu0.2
nautilus	1:46.4-0ubuntu0.2
nautilus-data	1:46.4-0ubuntu0.2
nautilus-extension-gnome-terminal:amd64	3.52.0-1ubuntu2
nautilus-sendto	3.8.6-7build2
ncurses-base	6.4+20240113-1ubuntu2.1
ncurses-bin	6.4+20240113-1ubuntu2.1
ncurses-term	6.4+20240113-1ubuntu2.1
net-tools	2.10-0.1ubuntu4.4
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
netplan-generator	1.1.2-8ubuntu1~24.04.2
netplan.io	1.1.2-8ubuntu1~24.04.2
network-manager	1.46.0-1ubuntu2.6
network-manager-config-connectivity-ubuntu	1.46.0-1ubuntu2.6
network-manager-gnome	1.34.0-1ubuntu3
network-manager-openvpn	1.10.2-4ubuntu0.2
network-manager-openvpn-gnome	1.10.2-4ubuntu0.2
network-manager-pptp	1.2.12-3build2
network-manager-pptp-gnome	1.2.12-3build2
networkd-dispatcher	2.2.4-1
nftables	1.0.9-1ubuntu0.1
node-abbrev	1.1.1+~1.1.2-1
node-acorn	8.8.1+ds+~cs25.17.7-2
node-agent-base	7.1.0~0~2023071921-5
node-ajv	8.12.0~ds+~2.1.1-4
node-ajv-keywords	5.1.0-4
node-ampproject-remapping	2.2.0+~cs5.15.37-1
node-ansi-escapes	5.0.0+really.4.3.1-1
node-ansi-regex	5.0.1-1
node-ansi-styles	6.2.1-2
node-anymatch	3.1.3+~cs4.6.1-2
node-aproba	2.0.0-3
node-archy	1.0.0-6
node-are-we-there-yet	3.0.1+~1.1.0-1
node-argparse	2.0.1-2
node-arrify	2.0.1-3
node-assert	2.0.0+~cs3.9.8-2
node-async	0.8.0-6
node-async-each	1.0.3-3
node-auto-bind	4.0.0-2
node-babel-helper-define-polyfill-provider	0.3.3~0~20220913+ds1-1
node-babel-plugin-add-module-exports	1.0.4+dfsg1~cs5.8.0-4
node-babel-plugin-lodash	3.3.4+~cs2.0.1-7
node-babel-plugin-polyfill-corejs2	0.3.3~0~20220913+ds1-1
node-babel-plugin-polyfill-corejs3	0.6.0~0~20220913+ds1-1
node-babel-plugin-polyfill-regenerator	0.4.1~0~20220913+ds1-1
node-babel7	7.20.15+ds1+~cs214.269.168-6build1
node-babel7-runtime	7.20.15+ds1+~cs214.269.168-6build1
node-balanced-match	2.0.0-1
node-base	3.0.0-3
node-base64-js	1.5.1+dfsg+~1.3.0-2
node-binary-extensions	2.2.0-2
node-brace-expansion	2.0.1+~1.1.0-1
node-braces	3.0.2+~3.0.1-1
node-browserslist	4.22.1+~cs6.1.28-1
node-builtins	5.0.1-1
node-busboy	1.6.0+~cs2.6.0-2
node-cacache	17.0.3+~cs10.3.7-1
node-cache-base	4.0.2-1
node-camelcase	7.0.0-3
node-caniuse-lite	1.0.30001571+dfsg+~1.0.5-1
node-chalk	5.3.0-1build1
node-chokidar	3.6.0-2
node-chownr	2.0.0-2
node-chrome-trace-event	1.0.3-2
node-ci-info	4.0.0+~cs1.1.0-1build2
node-cjs-module-lexer	1.2.3+dfsg-1
node-cli-boxes	3.0.0-1build2
node-cli-cursor	4.0.0-3
node-cli-table	0.3.11+~cs0.13.4-3
node-cli-truncate	2.1.0-5
node-cliui	7.0.4+repack+~cs3.1.0-4
node-clone	2.1.2+~2.1.2-1
node-clone-deep	4.0.1+~cs7.0.2-1
node-collection-visit	1.0.0-4
node-color-convert	2.0.1+~cs2.0.0-2
node-color-name	1.1.4+~1.1.1-2
node-colors	1.4.0-4
node-columnify	1.6.0+~1.5.1-1
node-commander	9.4.1-1
node-commondir	1.0.1+~1.0.0-1
node-concat-stream	2.0.0+~2.0.0-2
node-console-control-strings	1.1.0-3
node-convert-source-map	1.9.0+~1.5.2-1
node-copy-concurrently	1.0.5-9
node-core-js	3.33.2-1build2
node-core-js-compat	3.33.2-1build2
node-core-js-pure	3.33.2-1build2
node-core-util-is	1.0.3-1
node-coveralls	3.1.1-2build1
node-css-loader	6.8.1+~cs14.0.17-1
node-css-selector-tokenizer	0.8.0+~cs4.8.3-1
node-data-uri-to-buffer	5.0.1~0~2023071921-5
node-debbundle-es-to-primitive	1.2.1+~cs9.7.25-2
node-debug	4.3.4+~cs4.1.7-1
node-decamelize	4.0.0-2
node-decompress-response	6.0.0-2
node-deep-equal	2.2.3+~cs43.15.94-1
node-deep-is	0.1.4-1
node-defaults	1.0.4+~1.0.3-1
node-define-properties	1.2.1+~cs2.2.3-1
node-define-property	2.0.2+really+2.0.2-3
node-defined	1.0.1+~1.0.0-1
node-del	7.0.0-5
node-delegates	1.0.0-3
node-depd	2.0.0-2
node-diff	5.0.0~dfsg+~5.0.1-4
node-doctrine	3.0.0-4
node-electron-to-chromium	1.4.616-1
node-encoding	0.1.13-2
node-end-of-stream	1.4.4+~1.4.1-1
node-enhanced-resolve	5.15.0-1
node-err-code	2.0.3+dfsg-3
node-errno	1.0.0-3
node-error-ex	1.3.2-4
node-es-abstract	1.20.4+~cs26.27.47-1
node-es-module-lexer	1.1.0+dfsg-3
node-es6-error	4.1.1-5
node-escape-string-regexp	4.0.0-2
node-escodegen	2.1.0+dfsg+~0.0.8-1
node-eslint-scope	7.1.1+~3.7.4-1
node-eslint-utils	3.0.0-3
node-eslint-visitor-keys	3.3.0+~1.0.0-1
node-espree	9.4.1~dfsg-2
node-esprima	4.0.1+ds+~4.0.3-2
node-esquery	1.4.2~ds-1
node-esrecurse	4.3.0-2
node-estraverse	5.3.0+ds+~5.1.1-1
node-esutils	2.0.3+~2.0.0-1
node-events	3.3.0+~3.0.0-3
node-fancy-log	1.3.3+~cs1.3.1-2
node-fast-deep-equal	3.1.3-3
node-fast-levenshtein	2.0.6+ds-3
node-fetch	3.3.2+~cs11.4.11-1
node-file-entry-cache	6.0.1+~3.0.4+~2.0.0+~1.0.0+~2.0.1-1
node-fill-range	7.0.1+~7.0.0-1
node-find-cache-dir	3.3.2+~3.2.1-1
node-find-up	6.3.0-7
node-flat-cache	3.0.4~6.0.1+~3.0.4+~2.0.0+~1.0.0+~2.0.1-1
node-flatted	3.2.7~ds-1
node-for-in	1.0.2-4
node-for-own	1.0.0-3
node-foreground-child	3.1.1-2
node-fs-readdir-recursive	1.1.0+~1.1.0-1
node-fs-write-stream-atomic	1.0.10-6
node-fs.realpath	1.0.0-3
node-function-bind	1.1.2+~cs2.1.14-1
node-functional-red-black-tree	1.0.1+20181105-7
node-gauge	4.0.4-2
node-get-caller-file	2.0.5+~cs1.1.1-4
node-get-stream	6.0.1-1
node-get-value	1:3.0.1-4
node-glob	8.1.0+~cs8.5.15-1
node-glob-parent	6.0.2+~5.1.1-2
node-globals	13.23.0-1
node-globby	13.1.3+~cs16.25.40-2
node-got	11.8.5+~cs58.13.36-3
node-graceful-fs	4.2.10-1
node-growl	1.10.5-4
node-gyp	9.3.0-3
node-has-flag	4.0.0-3
node-has-unicode	2.0.1-5
node-has-value	2.0.2-4
node-has-values	2.0.1-4
node-hosted-git-info	6.1.1-2
node-http-proxy-agent	7.0.0~0~2023071921-5
node-https-proxy-agent	7.0.1~0~2023071921-5
node-iconv-lite	0.6.3-3
node-icss-utils	5.1.0+~5.1.0-1
node-ieee754	1.2.1-3
node-iferr	1.0.2+~1.0.2-1
node-ignore	5.2.1-1
node-imurmurhash	0.1.4+dfsg+~0.1.1-2
node-indent-string	4.0.0-2
node-inflight	1.0.6-2
node-inherits	2.0.4-6
node-ini	3.0.1-2
node-interpret	2.2.0-3
node-ip	2.0.0+~1.1.0-1ubuntu1
node-ip-regex	4.3.0+~4.1.1-1
node-is-arrayish	0.3.2-3
node-is-binary-path	2.1.0-5
node-is-buffer	2.0.5-2
node-is-descriptor	3.0.0-2
node-is-extendable	1.0.1-3
node-is-extglob	2.1.1-5
node-is-glob	4.0.3-2
node-is-number	7.0.0-4
node-is-path-cwd	2.2.0-2
node-is-path-inside	3.0.3-2
node-is-plain-obj	3.0.0-2
node-is-plain-object	5.0.0-7
node-is-primitive	3.0.1-3
node-is-stream	3.0.0-4
node-is-typedarray	1.0.0-4
node-is-windows	1.0.2+~cs1.0.0-1
node-isarray	2.0.5-4
node-isexe	2.0.0+~2.0.1-5
node-isobject	4.0.0-2
node-istanbul	0.4.5+repack10+~cs98.25.59-2
node-jest-debbundle	29.6.2~ds1+~cs73.45.28-5
node-jest-worker	29.6.2~ds1+~cs73.45.28-5
node-js-tokens	8.0.0-2
node-js-yaml	4.1.0+dfsg+~4.0.5-7
node-jsesc	3.0.2+~3.0.1-1
node-json-buffer	3.0.1+~3.0.0-1
node-json-parse-better-errors	1.0.2+~cs3.3.1-2
node-json-schema	0.4.0+~7.0.11-1
node-json-schema-traverse	1.0.0-3
node-json-stable-stringify	1.0.2+repack1+~cs1.0.34-2
node-json5	2.2.3+dfsg-1build1
node-jsonify	0.0.1-1
node-jsonparse	1.3.1-10
node-kind-of	6.0.3+dfsg-2
node-lcov-parse	1.0.0+20170612git80d039574ed9-6
node-levn	0.4.1+dfsg-2
node-loader-runner	4.3.0-1
node-locate-path	7.1.1-2
node-lodash	4.17.21+dfsg+~cs8.31.198.20210220-9
node-lodash-packages	4.17.21+dfsg+~cs8.31.198.20210220-9
node-log-driver	1.2.7+git+20180219+bba1761737-7
node-lowercase-keys	2.0.0-2
node-lru-cache	7.14.1-1
node-make-dir	3.1.0-3
node-map-visit	1.0.0-4
node-memfs	3.4.12+~cs1.0.3-1
node-memory-fs	0.5.0+~0.3.3-2
node-merge-stream	2.0.0+~1.1.2-2
node-micromatch	4.0.5+~4.0.2-1
node-mime	3.0.0+dfsg+~cs6.97.2-1
node-mime-types	2.1.35-2
node-mimic-response	3.1.0-8
node-minimatch	9.0.3-4build5
node-minimist	1.2.8+~cs5.3.5-1
node-minipass	3.3.6+~cs9.4.19-1
node-mixin-deep	2.0.1-3
node-mkdirp	1.0.4+~1.0.2-4
node-move-concurrently	1.0.1-5
node-ms	2.1.3+~cs0.7.31-3
node-mute-stream	0.0.8+~0.0.1-3
node-n3	1.16.3+~1.2.3+~1.10.4-1
node-negotiator	0.6.3+~0.6.1-1
node-neo-async	2.6.2+~cs3.0.0-3
node-nopt	5.0.0-4
node-normalize-package-data	4.0.1+~2.4.1-1
node-normalize-path	3.0.0+~3.0.0-1
node-npm-bundled	2.0.1-2
node-npm-package-arg	10.0.0+~3.0.0-2
node-npm-run-path	5.1.0+~4.0.0-8
node-npmlog	7.0.1+~4.1.4-1
node-object-assign	4.1.1-7
node-object-inspect	1.12.2+~cs1.8.1-1
node-object-visit	1.0.1-5
node-once	1.4.1-1
node-opener	1.5.2+~1.4.0-1
node-optimist	0.6.1+~0.0.30-2
node-optionator	0.9.1+dfsg+~cs1.2.3-1
node-osenv	0.1.5+~0.1.1-1
node-p-cancelable	2.1.1-1
node-p-limit	4.0.0+~cs4.0.0-5
node-p-locate	6.0.0-12
node-p-map	4.0.0+~3.1.0+~3.0.1-1
node-parse-json	5.2.0+~cs5.1.7-1
node-pascalcase	1.0.0-1
node-path-dirname	1.0.2-2
node-path-exists	5.0.0-8
node-path-is-absolute	2.0.0-2
node-path-is-inside	1.0.2+~1.0.0-1
node-path-type	4.0.0-3
node-picocolors	1.0.0-4
node-pify	5.0.0+~cs5.0.1-1
node-pkg-dir	5.0.0-2
node-postcss	8.4.31+~cs8.0.26-1
node-postcss-modules-extract-imports	3.0.0-2
node-postcss-modules-values	4.0.0+~4.0.0-1
node-postcss-value-parser	4.2.0-1
node-prelude-ls	1.2.1+dfsg-3
node-process-nextick-args	2.0.1-3
node-progress	2.0.3-2
node-promise-inflight	1.0.1+~1.0.0-1
node-promise-retry	2.0.1-4
node-promzard	0.3.0-2
node-prr	1.0.1-3
node-pump	3.0.0-5
node-punycode	2.2.3-2
node-quick-lru	6.1.1-4
node-randombytes	2.1.0+~2.0.0-2
node-re2:amd64	1.20.10+~cs2.13.13-1
node-read	1.0.7-5
node-read-package-json	5.0.2+~2.0.0-1
node-read-pkg	5.2.0-2
node-readable-stream	3.6.0+~cs3.0.0-4build1
node-readdirp	3.6.0-1
node-rechoir	0.8.0+~0.6.1-2
node-regenerate	1.4.2-3
node-regenerate-unicode-properties	10.1.0+ds-1
node-regenerator-runtime	0.15.2+~0.10.8-1
node-regenerator-transform	0.15.2+~0.10.8-1
node-regexpp	3.2.0-5
node-regexpu-core	5.2.2-3
node-regjsgen	0.7.1+ds-1
node-regjsparser	0.9.1+ds-2
node-repeat-string	1.6.1+repack-1
node-require-directory	2.1.1+~2.1.2-1
node-require-from-string	2.0.2+~1.2.1-1
